instance_stem,num_subjects,num_groups,num_p,population_size,generations,crossover_rate,mutation_rate,tournament_size,elitism,seed,best_fitness,elapsed_seconds,results_file,assignment_file,arm_type,instance_id,h_file,m_file
H_40_obs_3_id_5,40,2,3,100,200,1.0,0.14,2,3,123,0.16246346303496828,0.9979287919995841,results/twoarm/GA_results_H_40_obs_3_id_5_P100_G200_C1p00_M0p14_T2_E3.csv,results/twoarm/GA_assignment_H_40_obs_3_id_5_P100_G200_C1p00_M0p14_T2_E3.csv,twoarm,5,covariate_matrices_twoarm/H_40_obs_3_id_5.csv,moments_matrices/M_l_2_0.csv
H_40_obs_4_id_1,40,2,4,100,200,1.0,0.14,2,3,123,0.22101494976678301,1.0040325000009034,results/twoarm/GA_results_H_40_obs_4_id_1_P100_G200_C1p00_M0p14_T2_E3.csv,results/twoarm/GA_assignment_H_40_obs_4_id_1_P100_G200_C1p00_M0p14_T2_E3.csv,twoarm,1,covariate_matrices_twoarm/H_40_obs_4_id_1.csv,moments_matrices/M_l_2_1.csv
H_40_obs_4_id_2,40,2,4,100,200,1.0,0.14,2,3,123,0.2361117879352574,1.0128242080008931,results/twoarm/GA_results_H_40_obs_4_id_2_P100_G200_C1p00_M0p14_T2_E3.csv,results/twoarm/GA_assignment_H_40_obs_4_id_2_P100_G200_C1p00_M0p14_T2_E3.csv,twoarm,2,covariate_matrices_twoarm/H_40_obs_4_id_2.csv,moments_matrices/M_l_2_1.csv
H_40_obs_4_id_3,40,2,4,100,200,1.0,0.14,2,3,123,0.245944293090925,1.012611583000762,results/twoarm/GA_results_H_40_obs_4_id_3_P100_G200_C1p00_M0p14_T2_E3.csv,results/twoarm/GA_assignment_H_40_obs_4_id_3_P100_G200_C1p00_M0p14_T2_E3.csv,twoarm,3,covariate_matrices_twoarm/H_40_obs_4_id_3.csv,moments_matrices/M_l_2_1.csv
H_40_obs_4_id_4,40,2,4,100,200,1.0,0.14,2,3,123,0.2380076721412641,1.0077948340003786,results/twoarm/GA_results_H_40_obs_4_id_4_P100_G200_C1p00_M0p14_T2_E3.csv,results/twoarm/GA_assignment_H_40_obs_4_id_4_P100_G200_C1p00_M0p14_T2_E3.csv,twoarm,4,covariate_matrices_twoarm/H_40_obs_4_id_4.csv,moments_matrices/M_l_2_1.csv
H_40_obs_4_id_5,40,2,4,100,200,1.0,0.14,2,3,123,0.23407578497434733,1.0064470840006834,results/twoarm/GA_results_H_40_obs_4_id_5_P100_G200_C1p00_M0p14_T2_E3.csv,results/twoarm/GA_assignment_H_40_obs_4_id_5_P100_G200_C1p00_M0p14_T2_E3.csv,twoarm,5,covariate_matrices_twoarm/H_40_obs_4_id_5.csv,moments_matrices/M_l_2_1.csv
H_40_obs_5_id_1,40,2,5,100,200,1.0,0.14,2,3,123,0.2864935337669753,1.0325699170007283,results/twoarm/GA_results_H_40_obs_5_id_1_P100_G200_C1p00_M0p14_T2_E3.csv,results/twoarm/GA_assignment_H_40_obs_5_id_1_P100_G200_C1p00_M0p14_T2_E3.csv,twoarm,1,covariate_matrices_twoarm/H_40_obs_5_id_1.csv,moments_matrices/M_l_2_2.csv
H_40_obs_5_id_2,40,2,5,100,200,1.0,0.14,2,3,123,0.2924855649947002,1.047310625001046,results/twoarm/GA_results_H_40_obs_5_id_2_P100_G200_C1p00_M0p14_T2_E3.csv,results/twoarm/GA_assignment_H_40_obs_5_id_2_P100_G200_C1p00_M0p14_T2_E3.csv,twoarm,2,covariate_matrices_twoarm/H_40_obs_5_id_2.csv,moments_matrices/M_l_2_2.csv
H_40_obs_5_id_3,40,2,5,100,200,1.0,0.14,2,3,123,0.3499590850202908,1.0503404999999475,results/twoarm/GA_results_H_40_obs_5_id_3_P100_G200_C1p00_M0p14_T2_E3.csv,results/twoarm/GA_assignment_H_40_obs_5_id_3_P100_G200_C1p00_M0p14_T2_E3.csv,twoarm,3,covariate_matrices_twoarm/H_40_obs_5_id_3.csv,moments_matrices/M_l_2_2.csv
H_40_obs_5_id_4,40,2,5,100,200,1.0,0.14,2,3,123,0.27566408552194704,1.033600667000428,results/twoarm/GA_results_H_40_obs_5_id_4_P100_G200_C1p00_M0p14_T2_E3.csv,results/twoarm/GA_assignment_H_40_obs_5_id_4_P100_G200_C1p00_M0p14_T2_E3.csv,twoarm,4,covariate_matrices_twoarm/H_40_obs_5_id_4.csv,moments_matrices/M_l_2_2.csv
